1.374,284.5,31.8,2.9,18
2.054,269.7,31.8,9.1,18
2.734,278.8,31.8,18.2,18
3.414,328.3,31.7,10.3,18
4.094,276,31.7,10.6,18
4.773,297.1,31.7,6.2,18.1
5.453,278.6,31.7,56.2,18
6.133,395.5,31.6,14.3,18
6.813,336.5,31.6,10.3,18
7.492,294.8,31.6,6.4,18.1
8.171,297.3,31.5,8.8,18.1
8.852,349.6,31.5,13.8,18.1
9.533,321.6,31.4,23.5,18.1
10.212,290.6,31.4,11.4,18
10.891,261.1,31.4,8.5,18
11.57,279.9,31.4,9,18
12.25,297.8,31.5,9.2,18.1
12.931,278.3,31.5,10.5,18
13.61,278.6,31.5,10.2,18
14.29,328.8,31.5,10.9,18
14.97,289.1,31.4,13.2,18
15.65,286.3,31.3,11.9,18.1
16.33,241.7,31.3,10.8,18
17.008,236.8,31.3,6.5,18.1
17.689,318,31.3,14.2,18
18.368,315.9,31.4,9.2,18
19.049,270.5,31.4,10.3,18.1
19.729,288.3,31.4,39.4,18
20.407,354.2,31.3,8.8,18
21.087,306.3,31.3,7.5,18.1
21.767,278.1,31.4,10.8,18
22.447,286.5,31.3,8.7,18.1
23.127,320.1,31.3,6.9,18.1
23.806,326,31.4,4.4,18.1
